Id,MSSubClass,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,OpenPorchSF,EnclosedPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleType,SalePrice
1,house_2floor,19.812,785.0303,Pave,Reg,Lvl,AllPub,Inside,Gtl,Koltsovo,Norm,1Fam,2Story,7,5,2003,2003,CompShg,VinylSd,VinylSd,BrkFace,18.209,Gd,TA,PConc,Gd,TA,No,GLQ,13.9354,79.525,GasA,Ex,Y,SBrkr,79.525,79.3392,0.0,158.8641,2,1,3,1,Gd,8,Typ,0,,Attchd,RFn,2,50.9108,TA,TA,Y,5.6671,0.0,0.0,,,2,2008,WD,5185395.0
2,house_1floor,24.384,891.8688,Pave,Reg,Lvl,AllPub,FR2,Gtl,Zazerkalie,Feedr,1Fam,1Story,6,8,1976,1976,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,26.3845,117.2436,GasA,Ex,Y,SBrkr,117.2436,0.0,0.0,117.2436,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,42.7354,TA,TA,Y,0.0,0.0,0.0,,,5,2007,WD,4637325.0
3,house_2floor,20.7264,1045.1588,Pave,IR1,Lvl,AllPub,Inside,Gtl,Koltsovo,Norm,1Fam,2Story,7,5,2001,2002,CompShg,VinylSd,VinylSd,BrkFace,15.0503,Gd,TA,PConc,Gd,TA,Mn,GLQ,40.3199,85.4708,GasA,Ex,Y,SBrkr,85.4708,80.454,0.0,165.9248,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,56.485,TA,TA,Y,3.9019,0.0,0.0,,,9,2008,WD,5558445.0
4,house_2floor,18.288,887.2237,Pave,IR1,Lvl,AllPub,Corner,Gtl,Leskovo,Norm,1Fam,2Story,7,5,1915,1970,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,50.1676,70.2347,GasA,Gd,Y,SBrkr,89.2798,70.2347,0.0,159.5145,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,59.6437,TA,TA,Y,3.2516,25.2696,0.0,,,2,2006,WD,3805200.0
5,house_2floor,25.6032,1324.7968,Pave,IR1,Lvl,AllPub,FR2,Gtl,Geleznodorogny,Norm,1Fam,2Story,8,5,2000,2000,CompShg,VinylSd,VinylSd,BrkFace,32.516,Gd,TA,PConc,Gd,TA,Av,GLQ,45.5225,106.3739,GasA,Ex,Y,SBrkr,106.3739,97.8269,0.0,204.2008,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,77.6669,TA,TA,Y,7.8039,0.0,0.0,,,12,2008,WD,6217500.0
6,house_1floor_attic,25.908,1311.3258,Pave,IR1,Lvl,AllPub,Inside,Gtl,Petrovskie_ozera,Norm,1Fam,1.5Fin,5,5,1993,1995,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,5.9458,73.9508,GasA,Ex,Y,SBrkr,73.9508,52.5831,0.0,126.5339,1,1,1,1,TA,5,Typ,0,,Attchd,Unf,2,44.5934,TA,TA,Y,2.7871,0.0,0.0,,MnPrv,10,2009,WD,4535960.0
7,house_1floor,22.86,936.8339,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somovo,Norm,1Fam,1Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,Stone,17.28,Gd,TA,PConc,Ex,TA,Av,GLQ,29.4503,156.6345,GasA,Ex,Y,SBrkr,157.3777,0.0,0.0,157.3777,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,59.0863,TA,TA,Y,5.2955,0.0,0.0,,,8,2007,WD,7843850.0
8,house_2floor,,964.5189,Pave,IR1,Lvl,AllPub,Corner,Gtl,Pridonskoy,PosN,1Fam,2Story,7,6,1973,1973,CompShg,HdBoard,HdBoard,Stone,22.2967,TA,TA,CBlock,Gd,TA,Mn,ALQ,20.067,102.8436,GasA,Ex,Y,SBrkr,102.8436,91.3236,0.0,194.1673,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,44.9651,TA,TA,Y,18.9522,21.1819,0.0,,,11,2009,WD,6344000.0
9,house_1floor_attic,15.5448,568.5664,Pave,Reg,Lvl,AllPub,Inside,Gtl,Chigovka,Artery,1Fam,1.5Fin,7,5,1931,1950,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,88.4437,88.4437,GasA,Gd,Y,FuseF,94.9469,69.8631,0.0,164.8099,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,43.4786,Fa,TA,Y,0.0,19.0451,0.0,,,4,2008,WD,3230613.0
10,two_cottage,15.24,689.3403,Pave,Reg,Lvl,AllPub,Corner,Gtl,Olimpysky,Artery,2fmCon,1.5Unf,5,6,1939,1950,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,13.0064,92.0669,GasA,Ex,Y,SBrkr,100.0565,0.0,0.0,100.0565,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,19.0451,Gd,TA,Y,0.3716,0.0,0.0,,,1,2008,WD,2934660.0
